Kepolisian Daerah;RPTTP100K 2021;RPTTP100K 2020;RPTTP100K 2019;RPTTP100K 2018;RPTTP100K 2017;RPTTP100K 2016;RPTTP100K 2015;RPTTP100K 2014;RPTTP100K 2013;RPTTP100K 2012;RPTTP100K 2011;RPTTP100K 2010
ACEH;125.00;149.00;144.00;169.00;171.00;193.00;164.00;158.00;181.00;224.00;222.00;225.00
SUMATERA UTARA;250.00;231.00;216.00;231.00;280.00;266.00;256.00;268.00;308.00;252.00;285.00;251.00
SUMATERA BARAT;103.00;150.00;208.00;243.00;248.00;287.00;317.00;298.00;289.00;297.00;258.00;239.00
RIAU;110.00;123.00;99.00;109.00;103.00;134.00;155.00;157.00;159.00;195.00;130.00;158.00
JAMBI;104.00;134.00;195.00;180.00;271.00;277.00;316.00;230.00;201.00;209.00;153.00;123.00
SUMATERA SELATAN;153.00;147.00;156.00;164.00;190.00;253.00;259.00;290.00;297.00;294.00;265.00;250.00
BENGKULU;177.00;172.00;179.00;175.00;252.00;315.00;242.00;215.00;258.00;221.00;196.00;152.00
LAMPUNG;115.00;92.00;103.00;108.00;134.00;129.00;115.00;99.00;62.00;56.00;77.00;61.00
KEP. BANGKA BELITUNG;108.00;133.00;136.00;143.00;135.00;153.00;140.00;134.00;194.00;497.00;262.00;253.00
KEP. RIAU;111.00;127.00;152.00;164.00;176.00;248.00;255.00;240.00;232.00;347.00;348.00;396.00
METRO JAYA;277.00;105.00;127.00;137.00;138.00;174.00;181.00;186.00;213.00;256.00;260.00;297.00
JAWA BARAT;15.00;29.00;34.00;42.00;65.00;76.00;73.00;71.00;66.00;74.00;80.00;46.00
JAWA TENGAH;26.00;31.00;30.00;27.00;35.00;42.00;48.00;49.00;46.00;34.00;47.00;148.00
DI YOGYAKARTA;123.00;200.00;177.00;179.00;193.00;227.00;266.00;201.00;191.00;261.00;184.00;512.00
JAWA TIMUR;48.00;44.00;69.00;67.00;88.00;74.00;92.00;37.00;45.00;63.00;78.00;47.00
BANTEN;27.00;63.00;49.00;54.00;55.00;92.00;101.00;115.00;87.00;76.00;64.00;77.00
BALI;55.00;60.00;72.00;76.00;85.00;115.00;123.00;123.00;148.00;144.00;153.00;156.00
NUSA TENGGARA BARAT;122.00;167.00;165.00;130.00;164.00;161.00;126.00;156.00;195.00;223.00;204.00;232.00
NUSA TENGGARA TIMUR;90.00;88.00;111.00;118.00;127.00;153.00;133.00;131.00;141.00;145.00;120.00;81.00
KALIMANTAN BARAT;80.00;76.00;96.00;118.00;122.00;153.00;141.00;179.00;212.00;216.00;216.00;180.00
KALIMANTAN TENGAH;91.00;62.00;94.00;102.00;104.00;149.00;110.00;124.00;131.00;132.00;233.00;112.00
KALIMANTAN SELATAN;118.00;196.00;130.00;138.00;160.00;181.00;174.00;156.00;188.00;96.00;14.00;55.00
KALIMANTAN TIMUR;126.00;100.00;124.00;176.00;214.00;219.00;221.00;230.00;285.00;302.00;296.00;314.00
KALIMANTAN UTARA;140.00;146.00;127.00;57.00;;;;;;;;
SULAWESI UTARA;249.00;252.00;302.00;416.00;324.00;411.00;328.00;263.00;224.00;299.00;496.00;382.00
SULAWESI TENGAH;169.00;179.00;211.00;316.00;345.00;334.00;317.00;281.00;286.00;308.00;265.00;493.00
SULAWESI SELATAN;166.00;145.00;190.00;255.00;256.00;154.00;166.00;157.00;182.00;204.00;252.00;177.00
SULAWESI TENGGARA;91.00;81.00;47.00;49.00;110.00;150.00;149.00;224.00;304.00;303.00;265.00;262.00
GORONTALO;208.00;214.00;203.00;243.00;265.00;332.00;302.00;305.00;344.00;271.00;287.00;340.00
SULAWESI BARAT;110.00;125.00;148.00;144.00;146.00;;;;;;;
MALUKU;177.00;303.00;200.00;158.00;177.00;152.00;111.00;144.00;135.00;126.00;110.00;292.00
MALUKU UTARA;82.00;69.00;59.00;60.00;65.00;94.00;71.00;101.00;108.00;96.00;91.00;198.00
PAPUA BARAT;289.00;328.00;325.00;380.00;146.00;257.00;160.00;;;;;
PAPUA;186.00;208.00;214.00;224.00;208.00;358.00;233.00;214.00;219.00;263.00;250.00;181.00
INDONESIA;90.00;94.00;103.00;113.00;129.00;140.00;140.00;131.00;140.00;146.00;149.00;142.00
